City,Population,MedianIncome,PopulationWithHighSchoolDiploma,PopulationWithAssociatesDegree,PopulationWithBachelorsDegree,PopulationWithHighSpeedInternet,Latitude,Longitude
"Alderson, OK",295.0,44677.0,54.0,49.0,25.0,240,34.900623100000004,-95.6895737
"Alderson, WV",5279.0,36094.0,984.0,324.0,472.0,1028,37.7297468,-80.641983
"Aldie, VA",25168.0,164138.0,1232.0,904.0,6121.0,97,38.9761205,-77.6479848
"Aldrich, MN",285.0,56458.0,43.0,25.0,13.0,51,46.3747102,-94.9393925
"Aldrich, MO",530.0,44783.0,144.0,31.0,41.0,80,37.54847120000001,-93.5505223
"Aledo, IL",5216.0,54306.0,1230.0,309.0,507.0,3504,41.1994413,-90.7463299
"Aledo, TX",19338.0,133297.0,1491.0,1040.0,4197.0,2756,32.69738710000001,-97.6068661
"Alexander City, AL",20613.0,41954.0,3783.0,1227.0,1532.0,8469,32.9272402,-85.937122
"Alexander, AR",18314.0,62777.0,3134.0,1105.0,2148.0,2058,34.6185624,-92.4512194
"Alexander, IA",283.0,58750.0,40.0,52.0,32.0,84,42.8044195,-93.4786472
"Alexander, IL",293.0,80938.0,95.0,19.0,41.0,90,39.7217722,-90.0368457
"Alexander, KS",74.0,-666666666.0,12.0,2.0,2.0,59,38.469417,-99.5529981
"Alexander, ND",698.0,86250.0,102.0,97.0,74.0,195,47.8380583,-103.643203
"Alexander, NY",1838.0,68750.0,413.0,173.0,136.0,499,42.90202100000001,-78.2591135
"Alexandria Bay, NY",1322.0,48889.0,316.0,146.0,159.0,1079,44.33722120000001,-75.9227072
"Alexandria, AL",4768.0,70813.0,810.0,295.0,536.0,2796,33.760819,-85.87200820000002
"Alexandria, IN",9993.0,55263.0,2523.0,631.0,772.0,5168,40.2629639,-85.6736827
"Alexandria, KY",17401.0,80925.0,3179.0,1155.0,2513.0,8669,38.9678178,-84.3846006
"Alexandria, LA",57642.0,40558.666666666664,11066.0,1941.0,5346.0,44666,31.2934492,-92.4701887
"Alexandria, MN",25235.0,64132.0,4525.0,3307.0,3527.0,12173,45.877178,-95.3769651
"Alexandria, MO",751.0,30774.0,150.0,23.0,19.0,23,40.3598871,-91.4593977
"Alexandria, NE",313.0,70156.0,60.0,34.0,20.0,161,40.2475472,-97.3878374
"Alexandria, OH",2570.0,74077.0,699.0,148.0,405.0,531,40.0903161,-82.61245100000002
"Alexandria, PA",2512.0,55573.0,791.0,202.0,223.0,346,40.55828270000001,-78.09968359999998
"Alexandria, SD",1498.0,56417.0,235.0,170.0,130.0,619,43.6540389,-97.77991740000002
"Alexandria, TN",2185.0,43398.0,620.0,114.0,144.0,1018,36.0790813,-86.03809220000002
"Alexandria, VA",356787.0,111933.21428571429,32639.0,14965.0,71818.0,148607,38.8192511,-77.0836695
"Alexis, IL",1400.0,55563.0,254.0,170.0,178.0,833,41.0629064,-90.5554019
"Alexis, NC",1116.0,51875.0,221.0,128.0,56.0,380,35.3942556,-81.1230829
"Alford, FL",1958.0,32353.0,489.0,50.0,80.0,466,30.6966401,-85.39572
"Alfred, ME",7558.0,65731.0,1913.0,559.0,864.0,952,43.4785681,-70.7270912
"Alfred, NY",4235.0,37955.0,15.0,35.0,109.0,2228,42.2543333,-77.78964609999998
"Alger, OH",1744.0,44107.0,564.0,78.0,70.0,794,40.7097963,-83.84403449999998
"Algodones, NM",3639.0,40093.0,768.0,116.0,170.0,314,35.3707105,-106.488878
"Algoma, WI",5136.0,55972.0,1419.0,390.0,565.0,3015,44.6056771,-87.4480081
"Algona, IA",6767.0,54628.0,1469.0,817.0,807.0,4572,43.0739782,-94.2311542
"Algonac, MI",11903.0,59671.0,2814.0,1150.0,832.0,4101,42.62086729999999,-82.53391529999998
